nome,nome_it,tipo,comune,provincia,lat,lon,osm_id,wikipedia,wikidata
A Bertolacci,,hamlet,,,43.9208747,10.4832457,495247060,,Q18488374
A Rigali,,hamlet,,,44.0697647,10.4494356,1267062178,,Q18488376
Abbadia Isola,,hamlet,,,43.3878339,11.1947179,1051125684,it:Abbadia a Isola,Q799025
Abbadia di Montepulciano,,village,,,43.146167,11.8231029,1714496853,it:Abbadia (Montepulciano),Q14526941
Abeto,,hamlet,,,44.1075257,11.7265826,3463521893,,
Abetone,,village,,,44.1444997,10.6644636,61753660,it:Abetone,Q102547
Acciaiolo,,village,,,43.5507857,10.5076896,794141287,it:Acciaiolo,Q18490009
Acone,,hamlet,,,43.8531715,11.4690588,441191374,it:Acone,Q2442647
Acqua Rossa,,hamlet,,,43.6896791,11.5623029,2376887079,,
Acquabona,,hamlet,,,42.7835855,10.3407985,317675351,,
Acquabona,,hamlet,,,43.4175753,10.4832171,338918535,,Q18487960
Acquaborra-Caselle,,hamlet,,,43.510856,11.6265709,339654052,,Q18483920
Acquadalto,,hamlet,,,44.1064196,11.5318916,2131492540,,Q66759455
Acquaviva,,hamlet,,,42.821031,10.2840127,317675352,,Q18487963
Acquaviva,,hamlet,,,43.3848079,11.1682185,912475836,,Q33420296
Acquaviva,,village,,,43.1142673,11.8639999,5514874028,it:Acquaviva (Montepulciano),Q2175750
Acquerta,,hamlet,,,43.3306533,10.5307582,1796684213,,Q18490013
Adelano,,village,,,44.355714,9.7291897,563797178,it:Adelano,Q3605159
Adine,,hamlet,,,43.4514197,11.3967953,339658534,it:Adine,Q17620064
Africo,,hamlet,,,43.3080052,11.1324215,3761852438,,
Agazzi,,village,,,43.4473349,11.8360002,2816025719,it:Agazzi (Arezzo),Q15041960
Agliano,,village,,,44.169937,10.2438568,577677777,,Q18488383
Agna,,hamlet,,,43.8343733,11.5615605,2921600207,,
Agnano,,village,,,43.7377349,10.4878483,213482697,it:Agnano (San Giuliano Terme),Q18490015
Agnetta,,hamlet,,,44.3301866,9.9884552,1003626841,,Q18489225
Agnino,,hamlet,,,44.2443614,10.0804091,1467639419,it:Agnino,Q2175292
Agnolo,,hamlet,,,44.226444,10.0769721,6535719395,,
Agostoli,,hamlet,,,43.3103744,11.3007868,6592292816,,Q18491423
Ai Borelli,,hamlet,,,43.8752395,10.4860974,495247063,,Q18488384
Ai Diversi,,hamlet,,,44.0773856,10.4698926,1267062341,,
Ai Santucci,,hamlet,,,43.8735222,10.561353,13539005674,,
Aia,,hamlet,,,42.8056204,10.1571391,317675353,,Q18487965
Aia Bianca di Sotto,,hamlet,,,43.5615906,10.6360077,495236993,,
Aia Vecchia,,hamlet,,,44.0017898,10.9056536,2507482700,,Q18490623
Aiaccia,,hamlet,,,43.6167255,11.4557428,317671474,,Q18486351
Aiaccia,,hamlet,,,43.5780422,10.3691248,330680434,,Q18487967
Aiale,,hamlet,,,43.5710879,10.5878152,495236995,,Q18490019
Aiano,,hamlet,,,43.4327623,11.06844,885323901,,
Aiola,,hamlet,,,44.1629974,10.1378614,1540491822,,Q18489229
Aiole,,hamlet,,,42.855566,11.5548061,2452093113,,Q18487579
Al Colle,,hamlet,,,43.8974479,10.6459466,495243530,,Q18488386
Al Crocino,,hamlet,,,43.9651561,10.414508,13392776493,,
Al Generale,,hamlet,,,43.8592893,10.4507023,495251587,,Q18488387
Al Guercio,,hamlet,,,43.8728758,10.527141,13539005681,,
Al Molinaccio,,hamlet,,,43.8230113,10.4298983,495251592,,Q18488388
Al Mutino,,hamlet,,,43.8699087,10.3726169,495247072,,Q18488389
Al Piastrone,,hamlet,,,43.8728603,10.5530757,13539005675,,
Al Santo,,hamlet,,,44.0614344,10.167017,1433663288,,Q18489230
Al Simonelli,,hamlet,,,43.7315097,10.4329207,452999462,,Q18490023
Al Simonelli Ovest,,hamlet,,,43.730482,10.4301437,452999463,,Q18490021
Alberaccio,,hamlet,,,43.6968496,10.7687512,1775139380,,Q18490025
Alberese,,village,,,42.669208,11.1057807,385140946,it:Alberese,Q1118187
Alberese Scalo,,hamlet,,,42.6402563,11.1334368,1304179885,,Q18487581
Alberghi,,hamlet,,,43.8798152,10.6880254,1865611146,,
Alberghi,,hamlet,,,43.8286403,10.9148141,3362325718,,Q18490625
Albergo,,village,,,43.3805222,11.7409772,3470914164,,Q18483932
Albergo Basso Matanna,,hamlet,,,43.9939135,10.3748109,13382392154,,
Alberi,,hamlet,,,43.5768702,10.8803777,495236996,,
Albero,,hamlet,,,44.0380086,11.6129335,2393227319,,
Alberoro,,village,,,43.3672151,11.8068062,1841392237,it:Alberoro,Q3608025
Albiano,,hamlet,,,44.0849798,10.4747819,1267064157,,
Albiano,,hamlet,,,44.1907209,10.2232502,1293344710,,Q33420863
Albinatico,,village,,,43.8475007,10.7588047,528668595,,
Albinia,,village,,,42.5011021,11.2066771,445321700,it:Albinia,Q2439920
Alebbio,,village,,,44.2016189,10.1264963,1467639420,,Q18489234
Alebbio Casetta,,hamlet,,,44.1978612,10.123751,1467639425,,
Aliano,,hamlet,,,43.6250177,11.0996032,1238395170,,
Alica,,hamlet,,,43.598572,10.7240171,1774507614,it:Alica,Q3611651
All'Osteria,,hamlet,,,43.8734702,10.557398,13539005673,,
Alla Bidia,,hamlet,,,43.8627173,10.413592,495247068,,Q18488392
Alla Costa,,hamlet,,,44.0155072,10.2652424,1433663218,,Q18488393
Alla Croce,,hamlet,,,44.0027518,10.2725118,4397689897,,
Alla Guardia,,hamlet,,,43.878723,10.5291446,13539005663,,
Alla Volta,,hamlet,,,43.985209,10.5107806,13388932784,,
Alle Cascine,,hamlet,,,43.8334051,10.3623134,4824474048,,
Alpe di Massa,,hamlet,,,44.2052126,10.4087833,4989673337,,Q18488395
Altagnana,,village,,,44.0547471,10.174461,266785517,it:Altagnana,Q1993478
Alteto,,hamlet,,,43.9309448,10.7653549,2636635410,,Q18490627
Alteto,,hamlet,,,43.3704048,12.0101418,8941448973,"it:Polvano#San_Martino,_Alteto,_Ca'_di_Gelle_e_il_Cozzolare",
Altomena,,hamlet,,,43.7598389,11.4801651,2918708981,,
Altori,,hamlet,,,42.9276339,11.6202032,1293180206,,Q18487583
Ama,,hamlet,,,43.4425757,11.389183,1478849259,it:Ama (Gaiole in Chianti),Q17991828
Ambra,,village,,,43.4161798,11.6032145,252470476,it:Ambra (Bucine),Q3613790
Amola,,hamlet,,,44.2575558,9.996484,996977166,,Q18489238
Ampio,,hamlet,,,42.8256316,10.9460325,1323317245,it:Ampio,Q599893
Ampugnano,,village,,,43.269,11.2532017,1544192692,,Q18491425
Anatraia,,hamlet,,,43.2684291,11.8296365,1434672567,,Q18483948
Ancaiano,,village,,,43.2935796,11.2020738,1544192699,,Q27837125
Anchiano,,hamlet,,,43.9678454,10.531688,1267119321,,Q18488396
Anchiano,,hamlet,,,43.7997979,10.9386473,2015572071,it:Anchiano (Vinci),Q154184
Anchione,,village,,,43.8217226,10.7616302,528668576,,Q18490629
Anciolina,,hamlet,,,43.5950177,11.6831845,287339445,it:Anciolina,Q8479133
Angelica,,hamlet,,,43.6827471,10.7463013,1775140124,,
Anghiari,,village,,,43.5409662,12.0545815,61753386,,
Anqua,,hamlet,,,43.2134542,10.9855307,495226416,it:Anqua,Q18005234
Ansana,,hamlet,,,43.9699892,10.4584272,897187143,,Q18488397
Ansedonia,,village,,,42.4072829,11.2895444,1413588692,it:Ansedonia,Q1118281
Anselmo - Il Mela,,village,,,43.691022,11.0700102,717127960,,
Antella,,village,,,43.7272818,11.3227414,318680478,it:Antella (Bagno a Ripoli),Q18486358
Anticiana,,hamlet,,,43.9246017,10.4005284,495247076,,Q18488399
Antigo,,hamlet,,,44.2350498,10.0906228,1467639421,,Q18489242
Antisciana,,hamlet,,,44.1191311,10.3868684,1270566277,,
Antognano,,hamlet,,,44.2010238,10.20519,1293344553,,
Antona,,village,,,44.0579898,10.1818968,266785518,it:Antona,Q2369639
