nome,nome_it,tipo,comune,provincia,lat,lon,osm_id,wikipedia,wikidata
Abbadia,,hamlet,,,43.4910663,12.1625745,715527411,,
Abbadia Settefrati,,hamlet,,,42.9894756,12.2041689,4026452639,,
Abeto,,hamlet,,,42.8369725,13.0635352,3924085187,it:Abeto,Q2151408
Accarelli,,hamlet,,,43.2554978,12.7448549,12118620409,,
Acciano-Fossaccio,,hamlet,,,43.0924796,12.8207401,3871301197,,Q18492090
Acera,,hamlet,,,42.824328,12.8427979,3961981089,it:Acera,Q3604246
Acqua Alleori,,hamlet,,,42.9476353,12.6460147,12117133912,,
Acquaforte,,hamlet,,,42.6311193,12.5548097,642006767,,Q18494437
Acquaiola-Gratiano,,hamlet,,,43.0089823,12.1833526,4026452640,,Q18492097
Acquaiura,,hamlet,,,42.6749272,12.7344232,5564026191,,
Acqualacastagna,,hamlet,,,42.6568114,12.7171776,649280271,,Q18492099
Acqualoreto,,hamlet,,,42.7279494,12.33563,338748319,it:Acqualoreto,Q2563636
Acquapalombo,,hamlet,,,42.6182439,12.6729598,649279971,,Q18494443
Acquaro,,hamlet,,,42.869258,13.0663072,1776354083,it:Acquaro (Preci),Q3604683
Acquasanta,,hamlet,,,42.8943558,12.3931659,339387548,,Q18492100
Acquasanta,,hamlet,,,42.570464,12.2695138,650719148,,Q18494446
Acquasparta,,village,,,42.6910182,12.5465572,68507825,it:Acquasparta,Q6029
Acquatino,,hamlet,,,42.9718536,12.6455146,3872863059,,Q18492102
Acquavogliera,,village,,,42.5949804,12.5660194,642006307,,Q18494434
Africa,,hamlet,,,43.1102923,12.7753249,5039605589,,
Afrile,,hamlet,,,43.0253521,12.8104881,10207941045,,
Agello,,village,,,43.0704875,12.2383101,3399584985,it:Agello,Q392408
Aggi,,hamlet,,,43.1083077,12.8359466,8021709554,,
Agliano,,hamlet,,,42.8639023,12.8721782,1863021025,it:Agliano (Campello sul Clitunno),Q568867
Agriano,,hamlet,,,42.7640402,13.0294034,1263524136,,Q18492109
Aguzzo,,hamlet,,,42.4765425,12.6219087,649361447,it:Aguzzo,Q3606946
Aiale,,hamlet,,,43.4148139,12.6580627,4028543470,,Q18492111
Ali,,hamlet,,,42.9431763,12.9292969,3035267574,,
Aliena,,hamlet,,,42.7601801,13.0396131,1263504586,,Q18492113
Allerona,,village,,,42.812033,11.973053,68507870,it:Allerona,Q6052
Allerona Scalo,,village,,,42.7839418,12.0368255,3342411129,it:Allerona Scalo,Q528312
Altolina,,hamlet,,,42.982269,12.7683789,12117133920,,
Altrocanto,,hamlet,,,42.4841732,12.5734961,649361432,,Q18494453
Alvanischio,,hamlet,,,42.8617591,12.7547085,7526847480,,
Alviano,,village,,,42.5882078,12.2959357,68507824,it:Alviano,Q6067
Alviano Scalo,,village,,,42.590112,12.2611577,650719460,,Q113627187
Ampognano,,hamlet,,,42.6271728,12.770951,649280246,,
Ancaiano,,hamlet,,,42.646775,12.7733654,6344882147,,
Anguillara,,hamlet,,,43.2326656,12.7342122,1207949145,,Q18492117
Annifo,,hamlet,,,43.0524567,12.8550948,1360218346,it:Annifo,Q1983143
Antirata,,hamlet,,,43.487537,12.3236692,2506452540,,
Antria,,hamlet,,,43.1558058,12.2587352,3839924964,,Q18492121
Apagni,,hamlet,,,42.878725,12.892288,1521400360,,Q18492123
Appecano,,hamlet,,,42.6255417,12.6525652,642006644,it:Appecano,Q1954220
Archileggi,,hamlet,,,42.5492299,12.4088903,12151715711,,
